"Cancer","Gene","correlation"
"Colorectal cancer","CCL20",0.038801961835805
"Bile duct cancer","ABCG8",0.0382398353661343
"Stomach cancer","GKN1",0.0382102761487398
"Stomach cancer","FAF1",0.0380113164284197
"Esophageal cancer","CRP",0.0376476101470297
"Bile duct cancer","PEMT",0.0375762433969209
"Bile duct cancer","MUC2",0.03732442814296
"Esophageal cancer","FSCN1",0.0371978211387403
"Esophageal cancer","ADH1B",0.0369236227327516
"Colorectal cancer","CTNNB1",0.0368514495583377
"Colorectal cancer","VDR",0.0367987382105768
"Esophageal cancer","LAPTM4B",0.0367174094330129
"Pancreatic Cancer","CCR9",0.0366259180480137
"Bile duct cancer","KRT7",0.0365511282277253
"Liver cancer","GLUL",0.0364240325638098
"Colorectal cancer","FMNL2",0.0363163891018082
"Stomach cancer","PTPN4",0.0363083550340272
"Pancreatic Cancer","PRSS1",0.0362980571351764
"Pancreatic Cancer","SST",0.0361430774375306
"Bile duct cancer","MRAP",0.0360154922406953
"Esophageal cancer","FAIM",0.0357883121356788
"Esophageal cancer","CDCA3",0.0357883121356788
"Esophageal cancer","THSD4",0.0357883121356788
"Esophageal cancer","MIR204",0.0355215748559138
"Bile duct cancer","AGR3",0.0353873545478835
"Liver cancer","FXYD1",0.0353340146049987
"Colorectal cancer","DVL1",0.035222458389441
"Colorectal cancer","ALB",0.035060555049874
"Esophageal cancer","RPA1",0.0348681128870095
"Pancreatic Cancer","EGF",0.0348065421435534
"Pancreatic Cancer","PEMT",0.0347887048167746
"Esophageal cancer","ALDH2",0.0342999715350286
"Pancreatic Cancer","CCL25",0.0341759937379496
"Bile duct cancer","MUC4",0.0338003803091348
"Esophageal cancer","PLCE1",0.0337529851451759
"Pancreatic Cancer","PDHX",0.0336421157570567
"Bile duct cancer","TNR",0.0335908566568052
"Liver cancer","KLF6",0.0331757352405272
"Liver cancer","SLC22A1",0.0329665449269262
"Pancreatic Cancer","ULBP2",0.0329461441845248
"Colorectal cancer","DSE",0.0329000387920636
"Stomach cancer","EGF",0.0328995746890363
"Pancreatic Cancer","TNFRSF6B",0.0328118368264572
"Stomach cancer","ERBB2",0.03276441425199
"Stomach cancer","TFF2",0.0324832793307422
"Bile duct cancer","CDX2",0.0323521178035264
"Bile duct cancer","PER1",0.0322547824432819
"Liver cancer","TXN",0.0321855216805213
"Stomach cancer","ADRA1B",0.0321096002053883
"Pancreatic Cancer","SP3",0.0320293434321639
"Liver cancer","PSMD10",0.0319780211408581
"Stomach cancer","PSCA",0.0318530560132252
"Liver cancer","KRT8",0.0317400168628562
"Esophageal cancer","FBXL19",0.0317122460931943
"Esophageal cancer","CASC2",0.0317122460931943
"Colorectal cancer","MSH6",0.0317095109488094
"Esophageal cancer","SEMA4C",0.0316137318805378
"Stomach cancer","ZFHX3",0.0315690452661083
"Colorectal cancer","PIK3CA",0.0315187823173356
"Esophageal cancer","CRMP1",0.0313562523313042
"Pancreatic Cancer","FANCC",0.0310530473016678
"Esophageal cancer","CYP1A1",0.030887723687918
"Esophageal cancer","NKD2",0.0308778530435884
"Esophageal cancer","TGM3",0.0308207883706963
"Pancreatic Cancer","GP2",0.0307619920769502
"Pancreatic Cancer","CCK",0.0306970624455511
"Stomach cancer","REG4",0.0306522382482553
"Esophageal cancer","PLOD1",0.0305481332619729
"Bile duct cancer","SALL4",0.0304822111261934
"Stomach cancer","TRDMT1",0.0303755503979175
"Esophageal cancer","DACT2",0.0302728789040264
"Bile duct cancer","UGT2B11",0.0302161440756686
"Bile duct cancer","CHST4",0.0302161440756686
"Bile duct cancer","SPATA20",0.0302161440756686
"Stomach cancer","RASAL2",0.0302160570492402
"Stomach cancer","ODAM",0.0301944430979908
"Bile duct cancer","MAP3K4",0.0300444505645922
"Pancreatic Cancer","XPO1",0.0299484320039597
"Colorectal cancer","PSMA7",0.029912932076652
"Colorectal cancer","MUS81",0.0298791873672891
"Esophageal cancer","CUL1",0.0298038927778756
"Colorectal cancer","CCL2",0.02953518937627
"Liver cancer","INHA",0.0294857489235316
"Liver cancer","IFNAR2",0.0294718395548252
"Bile duct cancer","TLR2",0.0294572076947481
"Liver cancer","KRT19",0.0293858680546055
"Colorectal cancer","RBP5",0.0292907543200383
"Liver cancer","PNPLA3",0.0292573276982063
"Colorectal cancer","EGF",0.0292408277480626
"Pancreatic Cancer","HOXB2",0.0291552867962544
"Bile duct cancer","AFP",0.0288507095594247
"Colorectal cancer","TMEM8B",0.0288338150929731
"Liver cancer","MAT1A",0.0287835810094578
"Colorectal cancer","FASN",0.0287094307020011
"Colorectal cancer","BRD7",0.0286950206280009
"Bile duct cancer","CAPN1",0.0286719918520335
"Pancreatic Cancer","DDX43",0.0285497399443623
"Pancreatic Cancer","SCAMP1",0.0285497399443623
"Pancreatic Cancer","SOX15",0.0285497399443623
"Pancreatic Cancer","MCPH1",0.0285497399443623
"Pancreatic Cancer","PALB2",0.0284240059054567
"Stomach cancer","GNAO1",0.0284137072387655
"Esophageal cancer","BLM",0.02832694696464
"Pancreatic Cancer","PFAS",0.0282801886423935
"Bile duct cancer","SLC22A1",0.0282022997914112
"Pancreatic Cancer","VDAC2",0.0281255470066501
"Bile duct cancer","CPS1",0.0281165879894934
"Stomach cancer","VPS35",0.0280946350577305
"Stomach cancer","VPS54",0.0280946350577305
"Stomach cancer","VPS33A",0.0280946350577305
"Stomach cancer","VPS13C",0.0280946350577305
"Stomach cancer","VPS37B",0.0280946350577305
"Stomach cancer","VPS37D",0.0280946350577305
"Stomach cancer","VPS13B",0.0280946350577305
"Stomach cancer","VPS13A",0.0280946350577305
"Stomach cancer","VPS41",0.0280946350577305
"Stomach cancer","ZDHHC14",0.0280946350577305
"Stomach cancer","DRAM2",0.0280946350577305
"Colorectal cancer","CD44",0.0280928117268519
"Stomach cancer","MTHFR",0.0280727977601519
"Bile duct cancer","CCKAR",0.0280237764131982
"Colorectal cancer","PTP4A3",0.0280028233742763
"Esophageal cancer","ARSA",0.027979344822133
"Esophageal cancer","CCT3",0.0279762162453314
"Pancreatic Cancer","MET",0.0279546077190849
"Stomach cancer","OLFM4",0.0278248712665687
"Colorectal cancer","KLK7",0.0277966894442751
"Pancreatic Cancer","SLC39A4",0.0277667049492983
"Colorectal cancer","NAT2",0.0276886986741044
"Esophageal cancer","FAM60A",0.0276361800507099
"Esophageal cancer","LINC01554",0.0276361800507099
"Esophageal cancer","PDS5A",0.0276361800507099
"Colorectal cancer","MMP7",0.0276083870322055
"Pancreatic Cancer","TRPC6",0.0275901733353925
"Bile duct cancer","CETP",0.027560100454435
"Esophageal cancer","RNF2",0.0275153799203591
"Pancreatic Cancer","CFTR",0.0275113670610726
"Esophageal cancer","SH2B1",0.0274098872986533
"Colorectal cancer","CAT",0.0273860918730883
"Esophageal cancer","MTHFR",0.0272820166749676
"Bile duct cancer","CR1",0.02728101817757
"Liver cancer","ABCB11",0.0271381712888611
"Pancreatic Cancer","BRCA1",0.0270942938313076
"Stomach cancer","CHFR",0.0270754375931947
"Bile duct cancer","CYP7A1",0.0269703042618312
"Stomach cancer","BST2",0.0268514516568907
"Pancreatic Cancer","SHH",0.0267553911669818
"Stomach cancer","PTEN",0.0266242567718326
"Stomach cancer","CD34",0.0265525171341286
"Stomach cancer","BUB1",0.0265391006868327
"Colorectal cancer","LRRC24",0.0265281571746369
"Liver cancer","ELANE",0.026493069379901
"Pancreatic Cancer","MTNR1B",0.0264914444033455
"Colorectal cancer","APOBEC3G",0.0264508866547558
"Pancreatic Cancer","CAMP",0.0264009587606028
"Colorectal cancer","ADHFE1",0.0263879485766153
"Liver cancer","TSHB",0.0263755784963809
"Liver cancer","AMELY",0.0263755784963809
"Liver cancer","AGR3",0.0263755784963809
"Esophageal cancer","UBE2D3",0.0262577691443057
"Stomach cancer","FGFR2",0.0260211458387224
"Pancreatic Cancer","SLC2A4",0.0260074761230065
"Stomach cancer","WDR62",0.0259948270174702
"Stomach cancer","GSTZ1",0.0259948270174702
"Pancreatic Cancer","PNP",0.0259791270641428
"Pancreatic Cancer","BNIP3",0.025940427904523
"Esophageal cancer","DDX5",0.0259029992473902
"Liver cancer","FLOT1",0.0257171336793248
"Liver cancer","MIR99A",0.0256924828571062
"Pancreatic Cancer","RET",0.0256918124745533
"Stomach cancer","KLK10",0.0256762045022805
"Pancreatic Cancer","TMSB10",0.0255976680961215
"Pancreatic Cancer","MANF",0.0255976680961215
"Pancreatic Cancer","SEMA5A",0.0255252509899041
"Liver cancer","MID1",0.0255068358549533
"Colorectal cancer","KLK10",0.0253700062859725
"Colorectal cancer","TRAK1",0.0253495910582198
"Stomach cancer","HAND1",0.0252861033568742
"Pancreatic Cancer","MAPRE2",0.0252796148624622
"Liver cancer","PLOD2",0.0252722857010701
"Stomach cancer","DNMT3A",0.0251658928902884
"Bile duct cancer","MTBP",0.0250449336034537
"Bile duct cancer","RPL41",0.0250449336034537
"Bile duct cancer","MFAP5",0.0250449336034537
"Colorectal cancer","CXCL16",0.024950691277806
"Colorectal cancer","PLSCR1",0.0249437901155328
"Colorectal cancer","FAS",0.0249351752106583
"Stomach cancer","ARID1A",0.0248719978301963
"Pancreatic Cancer","DAB2IP",0.0248619064137231
"Stomach cancer","PTPN3",0.0248271808115863
"Pancreatic Cancer","SSTR2",0.0247762447255007
"Esophageal cancer","GP5",0.0246066727564848
"Colorectal cancer","ALOX12",0.0245922929300203
"Stomach cancer","IL10",0.0245603563968242
"Pancreatic Cancer","CLDN4",0.0245598913275294
"Bile duct cancer","KRT19",0.0245041204878726
"Stomach cancer","PRNP",0.0244659850331022
"Colorectal cancer","CD4",0.0244251366465738
"Liver cancer","HLA-H",0.0244224833023492
"Esophageal cancer","CCND1",0.0244112421261042
"Colorectal cancer","DICER1",0.0244109527562151
"Liver cancer","TPP1",0.0243714414552626
"Colorectal cancer","ALX4",0.0243666528439134
"Stomach cancer","AFAP1L2",0.0243371850557566
"Bile duct cancer","KAT5",0.0243219018968207
"Bile duct cancer","NDRG2",0.0243206025239051
"Stomach cancer","RPS13",0.0243174009598484
"Liver cancer","PCNA",0.0242875386026356
"Pancreatic Cancer","NTSR1",0.024270454417343
"Stomach cancer","GAS1",0.0242607382401798
"Colorectal cancer","PRDX2",0.0242578772300491
"Pancreatic Cancer","WNT9B",0.0242531128259483
"Pancreatic Cancer","PRKCZ",0.0242214935412211
"Colorectal cancer","NRG1",0.0242090262364811
"Stomach cancer","GSC",0.0240505689421185
"Stomach cancer","PBX2",0.0240298777204905
"Esophageal cancer","IGFBP3",0.0239650506461855
"Stomach cancer","XCL1",0.0239128350069024
"Liver cancer","SOAT2",0.0239103433547829
"Liver cancer","GNMT",0.0238733095638053
"Colorectal cancer","CLDN7",0.0238238895161082
"Stomach cancer","PBLD",0.0237770965120464
"Stomach cancer","MUC6",0.0236573741401876
"Colorectal cancer","CCL17",0.0236217564901244
"Stomach cancer","GKN2",0.0235999665257051
"Stomach cancer","KLK12",0.0235882504475641
"Pancreatic Cancer","CXCR4",0.0235761346008487
"Liver cancer","RPL37",0.0235639646525652
"Esophageal cancer","USP4",0.0235601140082254
"Esophageal cancer","ZRANB3",0.0235601140082254
"Esophageal cancer","UBE2S",0.0235601140082254
"Esophageal cancer","SLC11A1",0.0235601140082254
"Esophageal cancer","DMC1",0.0235601140082254
"Esophageal cancer","TIGIT",0.0235601140082254
"Esophageal cancer","SURF1",0.0235601140082254
"Esophageal cancer","AKAP4",0.0235601140082254
"Esophageal cancer","RRH",0.0235601140082254
"Pancreatic Cancer","FOXL1",0.0235490297405226
"Pancreatic Cancer","GABARAPL2",0.0235196088427897
"Bile duct cancer","ANXA13",0.0235033256582256
"Pancreatic Cancer","EGFR",0.0234323966933899
"Colorectal cancer","SCGB2A1",0.0233889567141967
"Stomach cancer","SLC34A2",0.0233558037508827
"Colorectal cancer","EGFL8",0.0233557079589537
"Colorectal cancer","VPS35",0.0233422163659235
"Colorectal cancer","VPS54",0.0233422163659235
"Colorectal cancer","VPS33A",0.0233422163659235
"Colorectal cancer","VPS13C",0.0233422163659235
"Colorectal cancer","VPS37B",0.0233422163659235
"Colorectal cancer","VPS37D",0.0233422163659235
"Colorectal cancer","VPS13B",0.0233422163659235
"Colorectal cancer","VPS13A",0.0233422163659235
"Colorectal cancer","VPS41",0.0233422163659235
"Colorectal cancer","RETNLB",0.0233422163659235
"Bile duct cancer","HFE2",0.0233002158836271
"Colorectal cancer","TGFBR1",0.0232428456400942
"Pancreatic Cancer","PCM1",0.0230910878980681
"Colorectal cancer","PTGIS",0.0230634096588702
"Liver cancer","DLK1",0.0230555919952924
"Stomach cancer","UQCRFS1",0.0230280688812351
"Bile duct cancer","ADRA2A",0.0230229319227081
"Stomach cancer","POT1",0.0229575578910308
"Stomach cancer","PGC",0.0228912220827646
"Colorectal cancer","LGR5",0.0227866772979757
"Colorectal cancer","DAG1",0.0227682401443777
"Pancreatic Cancer","FOLR1",0.0227613780975649
"Liver cancer","F2R",0.022745972441402
"Liver cancer","SALL4",0.0227238479104534
"Esophageal cancer","CD80",0.0226661629825487
"Esophageal cancer","IFNGR1",0.0226472405976142
"Pancreatic Cancer","COMP",0.0226455962478806
"Pancreatic Cancer","ICAM2",0.0226455962478806
"Pancreatic Cancer","GAS5",0.0226455962478806
"Pancreatic Cancer","WARS",0.0226455962478806
"Pancreatic Cancer","PCK2",0.0226455962478806
"Pancreatic Cancer","LRP2",0.0226455962478806
"Pancreatic Cancer","MRVI1",0.0226455962478806
"Pancreatic Cancer","GIT2",0.0226455962478806
"Pancreatic Cancer","ZNF462",0.0226455962478806
"Pancreatic Cancer","SRPX",0.0226455962478806
"Pancreatic Cancer","TRIM33",0.0226247094884677
"Pancreatic Cancer","CACNA1A",0.0225964299847511
"Liver cancer","MTA1",0.0225806293284052
"Esophageal cancer","GPT",0.0225536150297557
"Pancreatic Cancer","CCDC80",0.022540950382616
"Pancreatic Cancer","GEM",0.0224906042212602
"Bile duct cancer","TPTE2",0.0224593283673462
"Bile duct cancer","TPTE2P1",0.0224593283673462
"Bile duct cancer","HOMER1",0.0224593283673462
"Stomach cancer","RORA",0.0224425414693181
"Pancreatic Cancer","NLK",0.0224416035734355
"Pancreatic Cancer","MIR424",0.022436630313606
"Stomach cancer","FSCN1",0.0223953707214069
"Stomach cancer","MT2A",0.0223829055986868
"Pancreatic Cancer","ARTN",0.0223697001340818
"Stomach cancer","RUNX1",0.0223015847131393
"Pancreatic Cancer","MAL2",0.0222807297464645
"Colorectal cancer","CIAPIN1",0.0222701806640899
"Bile duct cancer","CCT2",0.0222324274290667
"Colorectal cancer","CACNA1G",0.0222219996347776
"Stomach cancer","WNT8B",0.0221774344388621
"Bile duct cancer","EYA4",0.0221574289362902
"Colorectal cancer","TNKS2",0.0221508558032986
"Colorectal cancer","XIAP",0.0221299969305845
"Esophageal cancer","HOOK2",0.0220677641017763
"Colorectal cancer","ABCB1",0.0220356555881715
"Colorectal cancer","MUTYH",0.0220354160694584
"Pancreatic Cancer","GUCA2A",0.0219942675624401
"Colorectal cancer","TIMP3",0.0219776917379935
"Bile duct cancer","CD151",0.0219370323591887
"Colorectal cancer","EGFR",0.0218688175974699
"Stomach cancer","ZNRD1",0.0218182560922635
"Stomach cancer","MUC5AC",0.0217979866414712
"Stomach cancer","RBMXL1",0.0217952109369497
"Stomach cancer","APLP1",0.0217952109369497
"Stomach cancer","FPR3",0.0217952109369497
"Stomach cancer","ANXA6",0.0217952109369497
"Esophageal cancer","RAC3",0.0217903527255257
"Liver cancer","MAT2A",0.0217727031667167
"Stomach cancer","LGMN",0.0217608611864499
"Pancreatic Cancer","FANCG",0.0217340409528732
"Esophageal cancer","FAM84B",0.0217292301640356
"Esophageal cancer","MCM4",0.0217079077272319
"Stomach cancer","KLF8",0.0216852631993315
"Pancreatic Cancer","KLF11",0.0216610058051806
"Esophageal cancer","ABCC10",0.0216570728869897
"Pancreatic Cancer","PIM1",0.0216014980186346
"Bile duct cancer","ARG1",0.0215933282911185
"Pancreatic Cancer","DYRK1B",0.0215469820111933
"Colorectal cancer","TCF7L2",0.02152100820004
"Esophageal cancer","NUMB",0.0215187789507599
"Colorectal cancer","TP53",0.0215047441334701
"Liver cancer","SMR3B",0.0214775854436464
"Liver cancer","NOTCH3",0.0214773150695896
"Liver cancer","CDC16",0.0214735937021542
"Esophageal cancer","WNT5B",0.0214469216373372
"Liver cancer","CASP10",0.0214000087598529
"Stomach cancer","CCR7",0.0213961198960058
"Liver cancer","EGFL7",0.0213760787448401
"Bile duct cancer","RAD51",0.0213452785805293
"Esophageal cancer","TAP1",0.0213433508024376
"Colorectal cancer","C8orf17",0.0213404620649608
"Pancreatic Cancer","AGL",0.0213130725632012
"Colorectal cancer","LGR4",0.0213034394722383
"Stomach cancer","LAPTM4B",0.0212977736877708
"Colorectal cancer","OSMR",0.0212241359353229
"Colorectal cancer","THBS2",0.021203826417688
"Colorectal cancer","TMEFF2",0.0211629576889289
"Esophageal cancer","MIR375",0.0211007799917564
"Liver cancer","GPC1",0.0210776809794945
"Pancreatic Cancer","MED29",0.0210466068830958
"Esophageal cancer","FHIT",0.0210006904370429
"Stomach cancer","HCK",0.020993812323912
"Colorectal cancer","CA11",0.0209798427287519
"Stomach cancer","S100A6",0.0209698610220088
"Pancreatic Cancer","UMPS",0.0209142737818988
"Pancreatic Cancer","ABCC5",0.0209123787334844
"Stomach cancer","ANLN",0.0209045094118011
"Bile duct cancer","PROX1",0.0208686352389911
"Colorectal cancer","IMPACT",0.0208282657601439
"Stomach cancer","BCL6",0.020821051377855
"Stomach cancer","TNK2",0.020811888289859
"Colorectal cancer","MTHFR",0.0207945602251522
"Stomach cancer","ARID4B",0.0207899137338977
"Stomach cancer","TCN1",0.0207782015011758
"Bile duct cancer","F2R",0.0207622917485791
"Liver cancer","PPM1A",0.0207478493592041
"Esophageal cancer","WNT3A",0.0207449982113966
"Stomach cancer","PTPRG",0.0206658967580469
"Liver cancer","HULC",0.0206150209172778
"Stomach cancer","POPDC3",0.0205037918362322
"Liver cancer","PRDM2",0.0204859563321241
"Pancreatic Cancer","CYP17A1",0.0204833965975413
"Stomach cancer","USP10",0.0204821082694839
"Liver cancer","FGF19",0.0203863733180915
"Bile duct cancer","CADM2",0.0203558994552384
"Pancreatic Cancer","BTF3",0.0203080082337566
"Colorectal cancer","TGFBR2",0.0202583830092148
"Pancreatic Cancer","NCR3",0.0202559345000168
"Stomach cancer","SEC11A",0.0202307213026459
"Liver cancer","TFDP1",0.0201857706552938
"Colorectal cancer","ALOX15",0.0201819498333331
"Liver cancer","VKORC1",0.0201552376420795
"Liver cancer","SGSM3",0.0201552376420795
"Stomach cancer","BCL2L10",0.0201306154397245
"Stomach cancer","IL23R",0.0201259953101085
"Colorectal cancer","GRPR",0.0200819297146334
"Stomach cancer","RAB25",0.0199372337391677
"Stomach cancer","TMC1",0.0198811295405718
"Bile duct cancer","KIAA1598",0.0198737231312388
"Bile duct cancer","ITIH1",0.0198737231312388
"Bile duct cancer","TMC5",0.0198737231312388
"Bile duct cancer","SCAMP1",0.0198737231312388
"Stomach cancer","EGFL8",0.0198659328167782
"Stomach cancer","IL16",0.0198152556709789
"Pancreatic Cancer","MUC16",0.0197914803015182
"Stomach cancer","GSTP1",0.0197907002824051
"Bile duct cancer","GSTO1",0.0197009219204098
"Stomach cancer","EEF1E1",0.0196954028966894
"Stomach cancer","POPDC2",0.0196954028966894
"Stomach cancer","CASP6",0.0196954028966894
"Stomach cancer","MIR610",0.0196954028966894
"Stomach cancer","FBP2",0.0196954028966894
"Pancreatic Cancer","ORC2",0.0196935243996397
"Pancreatic Cancer","B3GNT6",0.0196935243996397
"Pancreatic Cancer","IGHG1",0.0196935243996397
"Pancreatic Cancer","TLX2",0.0196935243996397
"Pancreatic Cancer","HBA1",0.0196935243996397
"Pancreatic Cancer","TRIB3",0.0196935243996397
"Pancreatic Cancer","LSP1",0.0196935243996397
"Pancreatic Cancer","DAB1",0.0196935243996397
"Pancreatic Cancer","PLEKHG2",0.0196935243996397
"Pancreatic Cancer","NUP153",0.0196935243996397
"Pancreatic Cancer","IGFBP5",0.0196935243996397
"Liver cancer","SPANXC",0.0196570454369152
"Stomach cancer","FHL1",0.0196533692222887
"Esophageal cancer","FZD7",0.0196454276192848
"Esophageal cancer","ANKRD11",0.0196277706167745
"Stomach cancer","BVES",0.0196213074576678
"Pancreatic Cancer","PTF1A",0.0196128686165373
"Stomach cancer","SEMA4C",0.0195928368873836
"Stomach cancer","SEMA3C",0.0195758085110204
"Pancreatic Cancer","ADA",0.0195716081111515
"Colorectal cancer","NUAK1",0.0195463583571902
"Pancreatic Cancer","GNE",0.019543243799711
"Pancreatic Cancer","FSCN1",0.019533488679727
"Colorectal cancer","GRP",0.0195077235312431
"Esophageal cancer","POLR1A",0.0194840479657409
"Esophageal cancer","TP73-AS1",0.0194840479657409
"Esophageal cancer","HOXC4",0.0194840479657409
"Esophageal cancer","HOXC9",0.0194840479657409
"Esophageal cancer","BANF1",0.0194840479657409
"Esophageal cancer","ANGPTL3",0.0194840479657409
"Esophageal cancer","BTG1",0.0194840479657409
"Esophageal cancer","SNN",0.0194840479657409
"Bile duct cancer","MUC7",0.0194725440098293
"Liver cancer","LAMA4",0.0194420877705941
"Stomach cancer","P4HB",0.0194343097121047
"Colorectal cancer","CCL15",0.0194205609295038
"Pancreatic Cancer","HLA-A",0.019368750284673
"Colorectal cancer","MBD4",0.0193499961380671
"Pancreatic Cancer","AKT1",0.0193480686241283
"Pancreatic Cancer","MTAP",0.0192930572727715
"Bile duct cancer","SPRR2A",0.019274623630866
"Stomach cancer","ITLN1",0.0192683440279524
"Colorectal cancer","LEP",0.0192631170639573
"Colorectal cancer","BMPR1B",0.0192513725317877
"Bile duct cancer","IFNAR2",0.0192503204052602
"Stomach cancer","UVRAG",0.0192480431562388
"Esophageal cancer","UBE2L6",0.0192224577715652
"Colorectal cancer","ADAMDEC1",0.0192062270543989
"Colorectal cancer","EZR",0.0191888243220212
"Esophageal cancer","SMUG1",0.0191865683213818
"Bile duct cancer","FOXJ2",0.0191573907612242
"Stomach cancer","MTMR3",0.0191569892344684
"Colorectal cancer","GRHL1",0.0191491227934802
"Pancreatic Cancer","CPA1",0.0191424376293304
"Colorectal cancer","PROK1",0.0191219476239607
"Pancreatic Cancer","KAT7",0.0191207242090302
"Pancreatic Cancer","WNT7B",0.0190904623253279
"Colorectal cancer","ODC1",0.0190692511587768
"Stomach cancer","ROS1",0.0190609907049708
"Esophageal cancer","CCNG2",0.0190341543550543
"Pancreatic Cancer","HNRNPA2B1",0.0190139938099558
"Stomach cancer","PAK2",0.0189850640967631
"Bile duct cancer","CALB1",0.0189643467389275
"Bile duct cancer","VDAC1",0.0189643467389275
"Liver cancer","KRT18",0.0189534837304416
"Liver cancer","EPHA5",0.0189466805348707
"Stomach cancer","VPS4B",0.0189449276410502
"Liver cancer","MACC1",0.0189186095614135
"Stomach cancer","PGK1",0.0189160059622829
"Colorectal cancer","MIR133B",0.0189150203060469
"Liver cancer","PROX1",0.0188322404319177
"Stomach cancer","ENDOG",0.0188113297718862
"Stomach cancer","BCL6B",0.0188034131701748
"Liver cancer","ALDOB",0.0187230255467552
"Pancreatic Cancer","TPT1",0.0187229988209334
"Esophageal cancer","SCN10A",0.018711707170444
"Pancreatic Cancer","EFNA3",0.0187022334706337
"Stomach cancer","VCAM1",0.0186929260751246
"Esophageal cancer","PABPC1",0.0186849935390226
"Esophageal cancer","TM4SF5",0.0186649804828985
"Stomach cancer","PTPN11",0.0186343234709544
"Stomach cancer","CD4",0.0185624440009613
"Colorectal cancer","RPL37",0.0184938244364032
"Stomach cancer","RFWD2",0.0184539240364026
"Stomach cancer","CAD",0.0184191012836904
"Pancreatic Cancer","KRAS",0.0183162832552228
"Bile duct cancer","CAMP",0.0183089391579048
"Stomach cancer","NET1",0.0182476070661678
"Pancreatic Cancer","FAT2",0.0182230954020363
"Pancreatic Cancer","RELB",0.0182142160991624
"Pancreatic Cancer","NKD1",0.0182075938662001
"Colorectal cancer","PMS2",0.0182009656771001
"Colorectal cancer","SMAD4",0.0181999507810659
"Colorectal cancer","CXXC1",0.018145073817774
"Stomach cancer","FRZB",0.0181147586438787
"Stomach cancer","GJB1",0.0180363008126934
"Colorectal cancer","ARNT",0.018023456524886
"Bile duct cancer","ARHGEF11",0.0180017898686724
"Liver cancer","NME1",0.0179949172505717
"Stomach cancer","WNT9B",0.0179508419350128
"Stomach cancer","VSIG1",0.0179365068968464
"Stomach cancer","SFRP5",0.0179342852150069
"Pancreatic Cancer","FAT3",0.0179215253928858
"Stomach cancer","CDX2",0.0179194816065659
"Colorectal cancer","ADAM23",0.0179113053986087
