CHOL(386),COCA(2005),ESCA(514),LIHC(1163),PAAD(389),STAD(928),3149 all,44 common,cooccurence(5955)
PBRM1,UGT1A1,ZEB2,MAP2K1,ZEB2,SOX2,PBRM1,,IL1RN
ROBO1,LIF,RUNX3,TTR,GSTM1,IGF1,ROBO1,,IL31
TAT,PLAU,CXCL12,ERBB2,CTLA4,GKN1,TAT,,TLR9
ABCB11,MAP2K4,CD1A,FOXM1,PARP1,MAP2K4,ABCB11,,XRCC5
ARG1,DPYD,CTLA4,GAPDH,ANG,NOTCH1,ARG1,,ERCC4
ANG-2,PPARG,E2F1,TCF7L2,NAT2,E2F1,ANG-2,,ERCC1
DCK,CCNE1,FGF2,CA2,GNAS,FGF2,DCK,,ATG5
NR1H4,KRT20,STAT1,SNAI1,NFE2L2,TGFBR2,NR1H4,,PIAS3
PDGFA,RUNX3,VDR,KRT7,PKD1,LOX,PDGFA,,RUNX3
RPS6,BRCA2,DPYD,GNMT,RHOC,CCNB1,RPS6,,LPAR1
TIMP1,TNS1,MUC5AC,CXCL12,CPE,CYP1A1,TIMP1,,DNER
TLR4,ATM,NFE2L2,IGF2R,MTR,SPP1,TLR4,,TBX21
XRCC1,LGR5,PDGFRA,CYP3A4,FOXM1,FLG,XRCC1,,AKT1
ABCB1,TNFRSF10B,PTPRC,CCL2,FASN,JAK2,ABCB1,,PIK3R1
ALB,PHIP,SLC22A16,CCL4,NF1,KLF4,ALB,,AIMP2
MUC5B,TERT,SYP,CYP1A2,PDGFRA,ABCG2,MUC5B,,EEF1E1
NOTCH3,NRAS,XPA,MMP1,CEACAM5,DNMT3B,NOTCH3,,AIMP1
PTCH1,LMOD1,CDH2,DNMT1,MUM1,HPSE,PTCH1,,MVD
TCF7L2,AXIN2,NAT2,MME,DLL4,KRT19,TCF7L2,,RHOB
CCNB1,MUC5AC,CKLF,ANG,THBS1,SERPINE1,CCNB1,,RHOA
MAL,CCNB1,DNMT3B,KLF6,APEX1,SKP2,MAL,,RAC1
TMEFF2,CD40LG,ABCB1,LOX,GPC1,WNT2,TMEFF2,,CD274
ABCG8,KLF4,PTCH1,IRS1,NAT1,ARID1A,ABCG8,,CAPZA1
CXCL12,TLR4,SCN10A,PLK1,ABCC1,ATM,CXCL12,,MDM2
IGF1,ITK,ANO1,SERPINE1,ABCC5,CHFR,IGF1,,LYZ
ABCB4,TIMP1,GRB7,NFE2L2,DPYD,SFRP1,ABCB4,,DYRK2
BAK1,CXCL12,VEGFA,PIK3CA,EP300,LMOD1,BAK1,,MED12
CCNE1,AREG,SOX17,CTSS,TOP2A,TLR2,CCNE1,,PIK3CA
DLC1,FGF2,KRT7,TAT,TCF3,BRCA2,DLC1,,MED23
DNMT1,SELE,CDC25B,ABCG2,ENAH,CSF2,DNMT1,,TERT
ESR1,LGALS3,CDK1,DNMT3B,IHH,NAT2,ESR1,,UGT1A1
FOXM1,E2F1,CHEK2,FLG,SMURF1,CDK1,FOXM1,,MBD4
GRN,DNMT3B,FEN1,JAK1,TBX2,LPA,GRN,,MAPK8
LIG4,MCL1,FOXM1,AKR1B10,CA9,ZEB2,LIG4,,CTSZ
PLK1,LEF1,GAPDH,CDH2,SOX17,IL11,PLK1,,WNT2
RPLP0,NAT1,RAD51,IL18,ARID1A,SPARC,RPLP0,,MYCN
SERPINB6,ACRC,STMN1,BRAF,ATRX,ERBB3,SERPINB6,,PCNA
STMN1,SNAI1,TTK,GPC1,ERBB4,WNT2B,STMN1,,MMP7
TACC3,IL1A,ALK,SQSTM1,MUC5B,CDK6,TACC3,,GSK3B
WNT3A,CACNA1G,ERBB3,TTPA,PRKDC,IGFBP3,WNT3A,,KRAS
ABCC1,VEGFA,ERBB4,TLR4,SPEN,LIF,ABCC1,,USP10
APOB,ABCB1,FAT1,MMP7,TNC,PTGS1,APOB,,SND1
ELF3,CYP3A4,IVL,PRF1,PNP,CDH2,ELF3,,IL32
TOP2A,MMP1,ATG5,SOCS3,CALU,DAPK1,TOP2A,,BHLHE40
MSH3,FASN,LATS2,STMN1,RHOU,PGR,MSH3,,HES7
FGF19,PRLR,ATG7,TYMS,CCL20,ADAM17,FGF19,,HELT
RBP1,CAV1,GPS1,MGMT,CXCR1,DNMT3A,RBP1,,HES3
SNAI1,GRP,FADD,NAT2,VANGL1,CAV1,SNAI1,,HES5
CDO1,PTP4A3,FOXA1,ABCB4,TTF2,FOXM1,CDO1,,SOX2
DCLK1,ERBB3,AMT,EGR1,NRAS,GKN2,DCLK1,,HES6
NAT2,OGG1,ARG1,MYCN,SFN,MPP2,NAT2,,NANOG
LAMA2,ASAH1,ABCC8,POU5F1,WWOX,PPP1R1A,LAMA2,,RBPJ
ACTB,CASR,MCM4,LPA,NOS3,MUC4,ACTB,,HEY2
ANXA4,AFP,PER1,PRDM2,UGT1A1,IL31,ANXA4,,HEY1
CD163,AURKA,PPP1R1A,NFKB1,WNT5B,MCC,CD163,,HEYL
CYP7A1,ZEB1,PRX,RUNX3,IKZF3,MCL1,CYP7A1,,HES4
DDC,S100A4,TAP1,NODAL,FLT3,SNAI1,DDC,,BHLHE41
FGFR1,RBP5,WNT2,TP73,NRG1,CLDN4,FGFR1,,POU5F1
HMGA2,CDK1,ARID1A,SHH,PTF1A,MMP3,HMGA2,,POPDC3
LGALS3,CHEK2,AXIN2,GGT1,DAAM2,STAT1,LGALS3,,POPDC2
MCC,CRABP1,CD163,HMOX1,DCLK1,MUC5B,MCC,,BVES
MYD88,GDF15,JAK1,TEK,NOTCH2,PDGFRA,MYD88,,HOTAIR
PDHX,PDCD1,MDC1,TLR3,NOTCH3,TCF7L2,PDHX,,PAK2
PEBP1,SERPINE1,MUC4,ETS1,PBRM1,TOP2A,PEBP1,,HOXA13
PML,NOTCH1,MUC6,CD14,PRDM2,ACTB,PML,,LYVE1
PPP1R1A,ABCG2,NF1,DKK1,RNF43,CD80,PPP1R1A,,ERBB3
RAD51,CEACAM1,PRKDC,IGFBP3,TIAM1,GDF15,RAD51,,KLK13
RPS2,DLL3,SOX9,AXIN1,VCAN,IL2RA,RPS2,,MKI67
SDHB,SPP1,TOP2A,PTPRC,AGL,PLK1,SDHB,,SMOX
SOX4,NFE2L2,RUNX1,ATG5,TJP1,RUNX1,SOX4,,ST6GALNAC1
TTR,CD28,MMP14,MAL,CD28,WNT6,TTR,,OLFM4
ATM,PDCD4,LIN28A,SFRP1,GADD45B,ABCB1,ATM,,PDCD4
FBN1,EGR3,ELANE,CD274,DUOX2,EP300,FBN1,,SKP2
MUC16,CD14,STK11,CDC25A,WNT6,TPR,MUC16,,ZNRD1
PLCE1,NMB,PPFIA1,LAPTM4B,PALLD,DIABLO,PLCE1,,CDKN1A
PRDM2,KRT7,CA9,PTGS1,WNT10A,XRCC3,PRDM2,,FBP1
ROBO2,POU5F1,NKD2,DCC,SERPINE2,RECK,ROBO2,,GAST
ADRA2A,WNT5A,SNAI1,NOTCH3,LPO,ACTA2,ADRA2A,,B2M
PDCD4,MTR,CYP2D6,SALL4,CASP2,AURKA,PDCD4,,RPL29
ERBB2IP,GPNMB,CYP1B1,CYP1B1,TRPM8,SCGN,ERBB2IP,,ACTB
DICER1,LEPR,SFRP1,SERPINC1,WNT2B,WNT5B,DICER1,,CLIC1
LAMC2,MME,CASR,ALDH2,FGFR3,PTPRC,LAMC2,,RECK
NCAM2,TCF7,CYP2C9,AURKA,GATA6,MYCN,NCAM2,,LGR5
CR1,FLG,AFM,CCNA2,SCTR,HNF1A,CR1,,ALCAM
SLC10A1,VWF,CDC25A,CD69,MAL,WNT7B,SLC10A1,,SEC14L2
SLC22A1,CYP24A1,CHEK1,DNMT3A,TUSC3,PDCD5,SLC22A1,,IL3
SFRP2,CD1A,DTL,HAMP,CCL21,CDC25A,SFRP2,,BUB1
FLT3,SFRP1,E2F2,KRT20,CYP3A4,CDC25C,FLT3,,BUB1B
SOX17,MMP3,FANCD2,NR1I2,ARG1,CLDN3,SOX17,,BUB3
CHL1,NCAM1,FOXF1,PPP1R1A,GLYAT,CXCL1,CHL1,,IRX1
ID4,TP73,GPX3,APOB,ABL2,EGR1,ID4,,CDH3
NAT1,IRS1,HOXA13,FASN,ACVR2A,NMBR,NAT1,,YWHAZ
COL14A1,LPA,HOXC6,PDCD1,ARID1B,PLAUR,COL14A1,,SPAG5
ANXA10,SOX2,MCM2,MTA1,BAP1,WNT8B,ANXA10,,PTEN
CD14,CA9,MCM7,AREG,DAPK1,ALK,CD14,,MMP8
CD151,MACC1,MEG3,CCR1,DST,FZD10,CD151,,GABRQ
CDK1,SFRP2,MMP13,HSPB1,ELF3,PTCH1,CDK1,,NRAS
CES1,CASP7,PGC,KLRK1,FAT1,SPEN,CES1,,THBS1
CES2,CDC25C,PSCA,NMB,FAT2,RHOC,CES2,,BRAF
CETP,HIST1H1C,PTGS1,PODXL,FAT3,RHOB,CETP,,PPP1R1B
CISH,PTPRC,PTX3,SELE,FAT4,TYMP,CISH,,FUT3
CKS1B,CYP1B1,RECK,ABCB11,FBN2,HDAC2,CKS1B,,SPINT1
CLIC1,CADM1,RHBDF2,ATM,FBXW7,MDK,CLIC1,,PSPH
CPS1,CTLA4,SATB1,PDGFRA,FLNA,SOX17,CPS1,,PTP4A3
CYP27A1,RAF1,SPAG5,ZEB2,FMN2,SERPINC1,CYP27A1,,IL23R
DAO,APCS,TAP2,CADM1,FZD10,NAT1,DAO,,ABO
DBT,CLDN1,TPX2,NOS3,GLI3,AQP3,DBT,,CDK1
E2F1,GZMB,ABCC5,APCS,HSPG2,CLDN1,E2F1,,GTF2H3
GCLC,NEUROD1,CHL1,CDC25C,IGF2R,GPX3,GCLC,,BCL2L12
GSTO1,PLK1,COL11A1,CYP19A1,IRS4,HDC,GSTO1,,WDR11
HBD,PPP1R1A,COL4A2,FGFR1,JAK1,EPHA2,HBD,,UMPS
HDAC6,SHH,COL4A5,IL6ST,LRP1,PLCE1,HDAC6,,KRT20
HMGA1,SPARC,COL4A6,RGN,MED1,SOX9,HMGA1,,CLDN1
IL1RN,BMP4,DLC1,SSTR2,PROX1,VANGL1,IL1RN,,CLDN2
ITGB1,CCR7,DMBT1,ABCB1,SEMA5A,CAST,ITGB1,,CLDN3
LEF1,EZH2,DSP,EP300,SMARCA4,IRF1,LEF1,,CRIP1
LEPR,EP300,EP300,NF1,TEP1,CD2,LEPR,,VEGFC
MAFG,MUC6,EPHA2,ACR,TRPA1,CTSS,MAFG,,CDK8
MAT1A,CXCL1,FAT2,CASP7,TRPS1,CD274,MAT1A,,RASSF2
MCM2,IL17A,FAT4,RAF1,USP9X,FZD5,MCM2,,HRASLS
NACA,IL18,FLNA,CYP2D6,VWF,PTGER4,NACA,,HAND1
NDRG2,KLRK1,KMT2D,FLT3,DUOXA2,AKR1B10,NDRG2,,TFF3
NEK2,RET,LRP1B,CDKN2B,FOXQ1,BIRC7,NEK2,,FBXL20
PBK,WT1,MAGEC1,FAP,IGFBP2,BUB1,PBK,,CD99
PFN1,EPHA2,NCOR1,NDRG2,C19orf26,CXCR2,PFN1,,ETS1
PGK1,NF1,NOTCH3,SMYD3,CUL1,KIAA1524,PGK1,,GKN2
PRC1,SOX9,PCDH10,ABCC1,SRSF1,LEPR,PRC1,,ERAS
SERPINH1,SPEN,PROX1,EPHA2,PAX3,LYVE1,SERPINH1,,TRAF2
SMAD3,SELP,SALL4,PTCH1,TRIM33,MMP11,SMAD3,,TNIK
SOD1,TAT,SLC3A2,TJP1,FZD5,ROR2,SOD1,,SFRP1
SSTR1,ALDH1A1,SPEN,VWF,FZD7,S100A8,SSTR1,,SHH
SSTR2,CHEK1,TET2,CKS1B,OCA2,S100A9,SSTR2,,NFKB1
PC,F2RL1,TIAM1,ACSL4,ING5,SCGB2A1,PC,,STK11
ARID2,GRPR,TPO,ESR1,BSG,SOSTDC1,ARID2,,PROX1
CHD5,KLK3,ZNF750,FUT3,KLF6,VIL1,CHD5,,TGFB1
DYNC1H1,NOD2,WWOX,GPT,TRPV6,NOTCH2,DYNC1H1,,KCNK17
EPHA7,TDGF1,APEX1,JUNB,DCTD,VWF,EPHA7,,KCNK16
FCGBP,AXIN1,AJUBA,MGAT3,WNT9A,FYN,FCGBP,,KCNK5
NID1,VHL,HRAS,NME1,ICOS,WWOX,NID1,,DNAH8
PCLO,AMACR,MSLN,NOX4,CASQ2,CD101,PCLO,,GLP1R
PKHD1,EMB,NDN,PPARGC1A,XRCC2,SFRP2,PKHD1,,GLO1
PRKDC,KLF5,STRA13,TEC,TP53BP1,KRT7,PRKDC,,FOXQ1
PROX1,CFTR,BSG,AXIN2,AMH,CA11,PROX1,,MIR196A2
SLIT2,CDC25A,PRTN3,DPYD,FMN1,CDC25B,SLIT2,,CXCR1
MEG3,TNFRSF10A,C19orf26,PGR,HES6,CDH3,MEG3,,CXCR2
IL31RA,HES1,POLB,SLC3A2,SLC4A3,CXCL9,IL31RA,,KPNA2
PGAM1,ESR1,PDHX,TIAM1,HDAC4,DNER,PGAM1,,DNMT3B
F2RL1,SPAG5,MYB,APOA1,PSEN2,EGR3,F2RL1,,PGK1
SLK,ALK,SLC10A1,HNF1B,EFNA2,FGFR4,SLK,,CHRM2
EMB,SLC3A2,CDO1,WWOX,CPA1,HMGA2,EMB,,IL31RA
XRCC3,TIAM1,SFRP2,NR1I3,CPM,HRH2,XRCC3,,BCAS4
PDPN,BMP2,FLT3,CYP2C9,MED29,IL32,PDPN,,MYLK
YY1,CCL20,NRG1,NAT1,RAP1B,INHBA,YY1,,CYP3A5
ADRB1,SFN,SERPINC1,ALDOA,WHSC1L1,JUP,ADRB1,,DPYD
CASP7,CYP19A1,UGT2B4,ALDOB,TERC,KLK6,CASP7,,OGG1
INA,CYP27B1,BMP6,AURKB,NEDD4L,MACC1,INA,,PLAC1
PLK2,EPHB1,TCF21,DTL,APOA1,MCM2,PLK2,,MIR126
PNLIP,EPHB4,ACTB,DUSP1,CYP1B1,PER1,PNLIP,,SRY
SCAMP1,FAM3B,AGTR1,EGR3,PER3,PTK7,SCAMP1,,UGT1A7
CCNH,GUCA2B,AURKB,FOXO1,PRKCB,SFRP5,CCNH,,UGT1A6
PIK3R1,KITLG,CACNA2D2,IGFBP1,GFRA1,SST,PIK3R1,,SBK1
OCLN,MED1,CCNA2,MACC1,C9,STMN1,OCLN,,PTAFR
SERPINA3,TJP1,CDC25C,MDK,COL14A1,TMPRSS4,SERPINA3,,LRP1B
MTA1,TOP2A,CDCP1,MST1,CD33,TNFRSF10B,MTA1,,FEZF2
SSBP2,UNC5C,CDT1,MYD88,PTN,A2M,SSBP2,,TMEFF2
RASA1,NCL,CKS1B,PDGFA,ABCA12,ABCC1,RASA1,,TYMP
CARTPT,TYMP,CTNND2,PDLIM5,ADAMTS18,ALB,CARTPT,,MAP2
ADRB3,SKP2,DBT,PGC,AHNAK,AXIN2,ADRB3,,ALDH1A1
CHST4,C9,DMC1,PROS1,ANK2,FBXW7,CHST4,,TP53I3
CNRIP1,CYP2C9,ECT2,PTTG1,ASXL1,FLNC,CNRIP1,,IL6
NEDD4L,H19,FRY,SHBG,ASXL3,FLT4,NEDD4L,,FUT5
SCTR,LGALS4,FZD2,SLCO1B1,BCL9L,IRX1,SCTR,,FUT4
SEMA3B,SOSTDC1,GHRL,SULF2,BLM,MED1,SEMA3B,,FUT2
SPG20,SPHK1,GSN,TLR2,BMPR2,NF1,SPG20,,FUT1
APOA1,TEK,HDGF,UGT1A1,CELSR1,PTPRG,APOA1,,INSIG1
CYP2D6,TNFRSF9,HMGA1,A2M,CELSR2,SALL4,CYP2D6,,CD163
CYP2A6,UNC5A,HOTAIR,CHD1,CELSR3,SLIT2,CYP2A6,,HPGD
CFTR,CDH2,HOXB7,FGFR2,CFH,TJP1,CFTR,,BAK1
SERPINC1,DAPK1,HOXC8,XRCC3,CHD4,ATG5,SERPINC1,,MAPK1
ABCC11,IGF2R,IL6ST,PIP,CHD7,IL3,ABCC11,,REG4
HPX,CSF1,KIAA1524,EIF4E,COL11A1,GPI,HPX,,MUC13
AMT,CD2,MDK,ING1,COL6A3,FSCN1,AMT,,IGFBP3
NR1I3,UGT1A7,MUSK,SLC22A1,CSMD2,MAL,NR1I3,,AHRR
NPY,CTSS,MXI1,THPO,CTNND1,NRG1,NPY,,FBXO11
SAA1,AURKB,PFDN4,CA9,DLC1,AGTR1,SAA1,,SERPINA1
HFE2,EPHX1,PLAU,CDKN2C,DMBT1,APOE,HFE2,,TUBB3
TACSTD2,KLK6,RPRM,CTSA,DSP,CLU,TACSTD2,,CCDC62
LDOC1,NME1,SST,CYP2C19,EDNRB,COL1A1,LDOC1,,CDH2
A1BG,PER1,SSTR2,EPHB1,FLT4,CXCL10,A1BG,,FHIT
ABAT,RECK,TNFRSF25,GHR,FOXG1,DCN,ABAT,,SEMA3B
ABCC6,SERPINB5,TRAF2,IGF2BP3,LIFR,DLL4,ABCC6,,TP73
AFAP1,SLC19A1,TUBB,LEPR,MPDZ,F2R,AFAP1,,SERPINA3
AFM,TRPM2,VSIG1,MSH2,MUC17,FOXL1,AFM,,CTSD
ALAS1,TWIST1,WNT3,NOS2,MYO18B,FZD2,ALAS1,,A2M
APOE,TYRP1,XPO1,S100A9,NAV3,GIP,APOE,,SERPINC1
ARID4A,FBXW7,A2M,SLCO1B3,PCDH10,GRB7,ARID4A,,SALL4
AURKB,STK11,ABCB11,SPRY2,PGR,HOTAIR,AURKB,,ROCK2
AXIN1,S100A9,ABCC1,WNT3A,PHIP,HOXA10,AXIN1,,WASF2
BNIP3,CDH3,ADAMTS16,ALK,PKHD1,IFI6,BNIP3,,WASL
BSG,CLU,ADCY1,SPEN,POLQ,KLF8,BSG,,SCGB2A1
BUB1B,GGH,AKAP12,TOP2A,ROBO1,LGALS4,BUB1B,,PIM1
C4BPA,MIF,ANKRD11,MED1,RP1,MIR17HG,C4BPA,,PTCH1
CAPN1,MPP2,APOB,TCF3,SACS,MUC13,CAPN1,,MARK2
CAPNS1,SULT1A1,ARID1B,LIN28B,SLIT2,NME1,CAPNS1,,MIR143
CCDC6,UCN,ATRX,MPG,SMARCA2,PDGFRB,CCDC6,,PINX1
CCL16,MUC4,BCL9,BNIP3,SPTBN1,PIM1,CCL16,,HAVCR2
CCNB2,MUC5B,CACNA1C,CASP2,SYNE1,PROC,CCNB2,,EOMES
CDA,RNF43,CACNA2D3,NCAM1,TPR,ROR1,CDA,,FGF9
CDC6,PER2,CELSR1,SDC1,TRPM6,SERPINA1,CDC6,,VIM
CEACAM1,CSE1L,CELSR2,CEBPA,TRRAP,SPINK1,CEACAM1,,PTPN6
CFL1,MAP1LC3A,CELSR3,CYP2A6,B2M,TRPM2,CFL1,,CAPN1
CIZ1,LPL,CENPF,FGF21,FOXC1,WISP1,CIZ1,,CYP17A1
COL1A2,PARK2,CREBBP,ABCB5,KISS1R,APOB,COL1A2,,CYP19A1
COL4A1,CCND2,DAAM2,AXL,SPRED1,AXIN1,COL4A1,,HSD17B2
CPEB4,S100A8,DAPK1,G6PD,MNX1,CD163,CPEB4,,HSD3B1
CSNK2A1,AKR1B10,DCLK1,GLS2,IGFBP5,COL1A2,CSNK2A1,,BIRC5
CXCL2,ATOH1,DMD,ID1,EPHX1,GLI3,CXCL2,,FLG
CYP39A1,DKK4,DNAH9,IL11,TXNIP,IGF2R,CYP39A1,,PRKCDBP
DDR1,EREG,DOCK2,MAGEC2,PTPN14,MAP3K1,DDR1,,PTRF
DNAJB9,HMOX1,ELMO1,MCC,MRPL28,PCDH10,DNAJB9,,SRF
DTL,KL,EPHA3,MCM7,ARHGAP8,PKD1,DTL,,SDPR
E2F2,KLK7,FASN,MICB,NDRG2,PRKDC,E2F2,,GRB2
ECM1,MYCN,FAT3,NGF,MADCAM1,ROS1,ECM1,,CTTN
ENPP1,SLC5A8,FBN1,PLK4,PROK1,SLC3A2,ENPP1,,GSTP1
ENPP3,TLR9,FBN2,REG3A,NRF1,SOCS6,ENPP3,,CHRNA5
EPO,ADCY9,FCGBP,SRD5A2,PSMA5,SKP1,EPO,,KRT8
FABP1,ARID1A,FLNC,SSTR1,LGALS8,SOS1,FABP1,,KIF27
FANCD2,CD163,FZD10,THBS1,OAZ1,JAG2,FANCD2,,DHH
FCGRT,DCLK1,GNAS,WNT2,DISC1,IL13,FCGRT,,IHH
FEN1,ERBB4,GRM3,BRCA2,DR1,MBP,FEN1,,KIF7
FEZ1,MAP3K1,IGF2R,CD163,ARPC2,GATA4,FEZ1,,IPP
FOXO1,PGR,JMJD1C,COL1A2,INHA,GATA6,FOXO1,,BCL10
GADD45A,PFDN4,LIFR,ERBB3,MPG,PMS2,GADD45A,,MTOR
GAPDH,UGT1A9,LPA,GNAS,MPO,KLF5,GAPDH,,MYCBP
GGH,TMEFF2,MAP2,MUC5AC,MAPK11,CA9,GGH,,AURKA
GLUD1,CSF2RB,MAP3K1,NCOR1,BUB1B,SEMA3B,GLUD1,,CCR2
GNE,CXCL10,MED1,PROX1,RAP1A,TMEFF2,GNE,,CCR5
GOLM1,EIF4EBP1,MUC16,SMARCA4,TLL1,TAT,GOLM1,,CLU
GRP,FGFR1,MUC5B,TRIM24,SARS,ANGPT1,GRP,,PDIA4
HBA2,FGFR4,MYH6,CHEK1,NCL,ANGPTL4,HBA2,,DDIT3
HGS,FZD1,MYH7,NT5E,NID1,CBX7,HGS,,HSPA5
HSD17B7,GAST,MYH9,MUM1,MIR29A,CCL3,HSD17B7,,DNAJC3
IGFBP1,GGCT,NPC1,LEF1,CDK5,CFB,IGFBP1,,IL1B
ITGA6,GPX2,PKD1,SSTR5,SORBS2,DKK2,ITGA6,,GSTM2
ITGAV,GSTA1,POLQ,ADAM9,HBA1,DKK4,ITGAV,,DICER1
ITGB4,HPGD,PTPN13,RIPK1,TRPV5,EPHX1,ITGB4,,PLAUR
ITIH1,MALAT1,PZP,BHMT,PRTN3,FEN1,ITIH1,,ARID1A
JAG1,PAH,REV3L,LAMA1,HELT,FOXA2,JAG1,,MUC4
KCNK9,TRAP1,RP1,SAA1,DUOX1,GPT,KCNK9,,NEUROD1
