#filename	date	concept	concept_num	SemanticType	category
26148499	2015-07-07	Cloning Vectors	1	Nucleic Acid, Nucleoside, or Nucleotide	Material_gene
26148499	2015-07-07	Clustered Regularly Interspaced Short Palindromic Repeats	2	Nucleic Acid, Nucleoside, or Nucleotide	Material_gene
25972099	2015-09-30	DSC2 gene	7	Gene or Genome	Material_gene
25972099	2015-09-30	Region of cytoplasm	1	Cell Component	Material_OTC
25972099	2015-09-30	juxtamembrane	5	Cell Component	Material_OTC
25972099	2015-09-30	contact site	1	Cell Component	Material_OTC
25972099	2015-09-30	SENILE PLAQUE FORMATION	2	Pathologic Function	Disease_pathologic
25972099	2015-09-30	Knock-out	1	Experimental Model of Disease	Method_Activity
25972099	2015-09-30	Immunoprecipitation	1	Laboratory Procedure	Method_procedure
25972099	2015-09-30	Lanugo	1	Body Part, Organ, or Organ Component	Material_OTC
25972099	2015-09-30	Desmosome	5	Cell Component	Material_OTC
25972099	2015-09-30	Cytoplasmic Domain	1	Cell Component	Material_OTC
25972099	2015-09-30	DSG1 gene	1	Gene or Genome	Material_gene
25972099	2015-09-30	DSG2 gene	1	Gene or Genome	Material_gene
25972099	2015-09-30	DLD gene	1	Gene or Genome	Material_gene
25972099	2015-09-30	Show	1	Animal	Material_species
25972099	2015-09-30	Gene Knockout Techniques	1	Molecular Biology Research Technique	Method_Activity
25972099	2015-09-30	Ablation	1	Therapeutic or Preventive Procedure	Method_Activity
25972099	2015-09-30	Clustered Regularly Interspaced Short Palindromic Repeats	1	Nucleic Acid, Nucleoside, or Nucleotide	Material_gene
27116122	2016-04-27	Wild Type	2	Gene or Genome	Material_gene
27116122	2016-04-27	mutant	5	Cell or Molecular Dysfunction	Disease_pathologic
27116122	2016-04-27	Grains	1	Plant	Material_species
27116122	2016-04-27	Agricultural Crops	1	Plant	Material_species
27116122	2016-04-27	Seedlings	1	Plant	Material_species
27116122	2016-04-27	Show	1	Animal	Material_species
27116122	2016-04-27	Clustered Regularly Interspaced Short Palindromic Repeats	3	Nucleic Acid, Nucleoside, or Nucleotide	Material_gene
26456817	2015-10-22	MCM8 gene	1	Gene or Genome	Material_gene
26456817	2015-10-22	Chromatography, Affinity	1	Laboratory Procedure	Method_procedure
26456817	2015-10-22	Mass Spectrometry	1	Laboratory Procedure	Method_procedure
26456817	2015-10-22	Study Activity	1	Research Activity	Method_Activity
26456817	2015-10-22	Clustered Regularly Interspaced Short Palindromic Repeats	1	Nucleic Acid, Nucleoside, or Nucleotide	Material_gene
24518983	2014-05-27	Homo sapiens	1	Human	Material_species
24518983	2014-05-27	Clustered Regularly Interspaced Short Palindromic Repeats	1	Nucleic Acid, Nucleoside, or Nucleotide	Material_gene
25741005	2015-04-04	Smallpox Viruses	1	Virus	Material_species
25741005	2015-04-04	cancer therapy	1	Therapeutic or Preventive Procedure	Method_Activity
25741005	2015-04-04	prevention of infection	1	Therapeutic or Preventive Procedure	Method_Activity
25741005	2015-04-04	Immunotherapy	1	Therapeutic or Preventive Procedure	Method_Activity
25741005	2015-04-04	Vaccinia virus	5	Virus	Material_species
25741005	2015-04-04	Clustered Regularly Interspaced Short Palindromic Repeats	1	Nucleic Acid, Nucleoside, or Nucleotide	Material_gene
26742453	2016-02-14	cell process structure	1	Cell Component	Material_OTC
26742453	2016-02-14	Homo sapiens	1	Human	Material_species
26742453	2016-02-14	Mus	3	Mammal	Material_species
26742453	2016-02-14	mutant	1	Cell or Molecular Dysfunction	Disease_pathologic
26742453	2016-02-14	Chromosome inversion	2	Cell or Molecular Dysfunction	Disease_pathologic
26742453	2016-02-14	Embryonic Stem Cells	1	Cell	Material_OTC
26742453	2016-02-14	modeling	1	Research Activity	Method_Activity
26742453	2016-02-14	Clustered Regularly Interspaced Short Palindromic Repeats	2	Nucleic Acid, Nucleoside, or Nucleotide	Material_gene
26527277	2015-11-23	Chromatin Loop	1	Cell Component	Material_OTC
26527277	2015-11-23	Genomic Profile	1	Laboratory Procedure	Method_procedure
26527277	2015-11-23	Higher Order Chromatin Structure	1	Cell Component	Material_OTC
26527277	2015-11-23	SOX2 gene	1	Gene or Genome	Material_gene
26527277	2015-11-23	CTCF gene	11	Gene or Genome	Material_gene
26527277	2015-11-23	chromatin location	2	Cell Component	Material_OTC
26527277	2015-11-23	Enhancer of transcription	2	Nucleic Acid, Nucleoside, or Nucleotide	Material_gene
26527277	2015-11-23	Clustered Regularly Interspaced Short Palindromic Repeats	1	Nucleic Acid, Nucleoside, or Nucleotide	Material_gene
27255410	2016-06-27	RNA	1	Nucleic Acid, Nucleoside, or Nucleotide	Material_gene
27255410	2016-06-27	Zika virus (organism)	1	Virus	Material_species
27255410	2016-06-27	Zika virus disease (disorder)	1	Disease or Syndrome	Disease_pathologic
27255410	2016-06-27	Clustered Regularly Interspaced Short Palindromic Repeats	1	Nucleic Acid, Nucleoside, or Nucleotide	Material_gene
27617007	2016-09-12	Sexually Transmitted Diseases	1	Disease or Syndrome	Disease_pathologic
27617007	2016-09-12	Mastrevirus	1	Virus	Material_species
27617007	2016-09-12	RNA Viruses	1	Virus	Material_species
27617007	2016-09-12	Beet curly top virus	1	Virus	Material_species
27617007	2016-09-12	Tomato yellow leaf curl virus	1	Virus	Material_species
27617007	2016-09-12	Merremia mosaic virus	1	Virus	Material_species
27617007	2016-09-12	Beet severe curly top virus	1	Virus	Material_species
27617007	2016-09-12	RNA	2	Nucleic Acid, Nucleoside, or Nucleotide	Material_gene
27617007	2016-09-12	Bean yellow dwarf virus	1	Virus	Material_species
27617007	2016-09-12	Arabidopsis	2	Plant	Material_species
27617007	2016-09-12	Nicotiana benthamiana	1	Plant	Material_species
27617007	2016-09-12	Plant Viruses	1	Virus	Material_species
27617007	2016-09-12	Geminiviridae	2	Virus	Material_species
27617007	2016-09-12	Zucchini yellow mosaic virus	1	Virus	Material_species
27617007	2016-09-12	Turnip mosaic virus	1	Virus	Material_species
27617007	2016-09-12	Clustered Regularly Interspaced Short Palindromic Repeats	2	Nucleic Acid, Nucleoside, or Nucleotide	Material_gene
27617007	2016-09-12	EIF4E gene	1	Gene or Genome	Material_gene
27617007	2016-09-12	Ipomovirus	1	Virus	Material_species
27617007	2016-09-12	Begomovirus	1	Virus	Material_species
27617007	2016-09-12	Curtovirus	1	Virus	Material_species
27617007	2016-09-12	Veins	1	Body Part, Organ, or Organ Component	Material_OTC
27617007	2016-09-12	Genus Cucumis	2	Plant	Material_species
27617007	2016-09-12	High-Throughput RNA Sequencing	3	Molecular Biology Research Technique	Method_Activity
27617007	2016-09-12	Massively-Parallel Sequencing	4	Molecular Biology Research Technique	Method_Activity
27617007	2016-09-12	Infectious agent	1	Organism	Material_species
27617007	2016-09-12	Potyviridae	1	Virus	Material_species
27617007	2016-09-12	INFECTIOUS PROCESS	1	Pathologic Function	Disease_pathologic
27617007	2016-09-12	DNA Viruses	1	Virus	Material_species
27617007	2016-09-12	Potyvirus	1	Virus	Material_species
27617007	2016-09-12	Viral Small RNA	1	Nucleic Acid, Nucleoside, or Nucleotide	Material_gene
27617007	2016-09-12	Viroids	3	Virus	Material_species
27617007	2016-09-12	Papaya ringspot virus	1	Virus	Material_species
25514649	2014-12-17	Hepatocyte	1	Cell	Material_OTC
25514649	2014-12-17	Hep G2 Cells	1	Cell	Material_OTC
25514649	2014-12-17	SLC10A1 gene	1	Gene or Genome	Material_gene
25514649	2014-12-17	Mental blocking	2	Mental or Behavioral Dysfunction	Disease_pathologic
25514649	2014-12-17	Chromosomal deoxyribonucleic acid	1	Nucleic Acid, Nucleoside, or Nucleotide	Material_gene
25514649	2014-12-17	Antiviral Therapy	1	Therapeutic or Preventive Procedure	Method_Activity
25514649	2014-12-17	Hepatitis B Virus	1	Virus	Material_species
25514649	2014-12-17	Infection	1	Pathologic Function	Disease_pathologic
25514649	2014-12-17	Cytoplasm	1	Cell Component	Material_OTC
25514649	2014-12-17	Clustered Regularly Interspaced Short Palindromic Repeats	2	Nucleic Acid, Nucleoside, or Nucleotide	Material_gene
27572891	2016-08-30	Hepatocyte	3	Cell	Material_OTC
27572891	2016-08-30	Metabolic Diseases	1	Disease or Syndrome	Disease_pathologic
27572891	2016-08-30	Orthotopic liver transplant	1	Therapeutic or Preventive Procedure	Method_Activity
27572891	2016-08-30	Liver diseases	1	Disease or Syndrome	Disease_pathologic
27572891	2016-08-30	Tyrosinemia, Type III	1	Disease or Syndrome	Disease_pathologic
27572891	2016-08-30	Tyrosinemia, Type I	2	Disease or Syndrome	Disease_pathologic
27572891	2016-08-30	HPD gene	4	Gene or Genome	Material_gene
27572891	2016-08-30	Liver	1	Body Part, Organ, or Organ Component	Material_OTC
27572891	2016-08-30	Laboratory mice	3	Mammal	Material_species
27572891	2016-08-30	associated disease	1	Pathologic Function	Disease_pathologic
27572891	2016-08-30	Clustered Regularly Interspaced Short Palindromic Repeats	1	Nucleic Acid, Nucleoside, or Nucleotide	Material_gene
26443227	2015-10-07	Knock-out	1	Experimental Model of Disease	Method_Activity
26443227	2015-10-07	Frameshift Mutation function	2	Cell or Molecular Dysfunction	Disease_pathologic
26443227	2015-10-07	GLI2 gene	1	Gene or Genome	Material_gene
26443227	2015-10-07	Gene Knockout Techniques	1	Molecular Biology Research Technique	Method_Activity
26443227	2015-10-07	Deep Sequencing	1	Molecular Biology Research Technique	Method_Activity
26443227	2015-10-07	DNA Breaks, Double-Stranded	2	Cell or Molecular Dysfunction	Disease_pathologic
27535623	2016-09-29	Saccharomyces cerevisiae	3	Fungus	Material_species
27535623	2016-09-29	Knock-out	1	Experimental Model of Disease	Method_Activity
27535623	2016-09-29	Mammalian Cell	2	Cell	Material_OTC
27535623	2016-09-29	Metabolic Engineering	1	Molecular Biology Research Technique	Method_Activity
27535623	2016-09-29	Monoclonal Protein Measurement	1	Laboratory Procedure	Method_procedure
27535623	2016-09-29	PARAGANGLIOMA AND GASTRIC STROMAL SARCOMA	1	Neoplastic Process	Disease_pathologic
27535623	2016-09-29	Knock-in	1	Research Activity	Method_Activity
27535623	2016-09-29	Clustered Regularly Interspaced Short Palindromic Repeats	3	Nucleic Acid, Nucleoside, or Nucleotide	Material_gene
27000990	2016-04-06	Malignant Neoplasms	3	Neoplastic Process	Disease_pathologic
27000990	2016-04-06	Clustered Regularly Interspaced Short Palindromic Repeats	1	Nucleic Acid, Nucleoside, or Nucleotide	Material_gene
27347757	2016-08-10	RNA	2	Nucleic Acid, Nucleoside, or Nucleotide	Material_gene
27347757	2016-08-10	Homo sapiens	1	Human	Material_species
27347757	2016-08-10	Acidaminococcus	1	Bacterium	Material_species
27347757	2016-08-10	Streptococcus pyogenes	1	Bacterium	Material_species
27347757	2016-08-10	Show	1	Animal	Material_species
27347757	2016-08-10	Lachnospiraceae bacterium ND2006	1	Bacterium	Material_species
27347757	2016-08-10	Deep Sequencing	1	Molecular Biology Research Technique	Method_Activity
27347757	2016-08-10	Clustered Regularly Interspaced Short Palindromic Repeats	3	Nucleic Acid, Nucleoside, or Nucleotide	Material_gene
24811454	2014-06-30	RNA	1	Nucleic Acid, Nucleoside, or Nucleotide	Material_gene
24811454	2014-06-30	Nucleotides	2	Nucleic Acid, Nucleoside, or Nucleotide	Material_gene
24811454	2014-06-30	RNA, Untranslated	1	Nucleic Acid, Nucleoside, or Nucleotide	Material_gene
24811454	2014-06-30	CRISPR Loci	1	Gene or Genome	Material_gene
24811454	2014-06-30	CSN1S1 gene	1	Gene or Genome	Material_gene
24811454	2014-06-30	Skin tag	4	Neoplastic Process	Disease_pathologic
24811454	2014-06-30	Streptococcus thermophilus	2	Bacterium	Material_species
24811454	2014-06-30	COP9 signalosome	2	Cell Component	Material_OTC
24811454	2014-06-30	Clustered Regularly Interspaced Short Palindromic Repeats	4	Nucleic Acid, Nucleoside, or Nucleotide	Material_gene
26901067	2016-03-30	Tumor cells, malignant	1	Cell	Material_OTC
26901067	2016-03-30	Somatic mutation	1	Cell or Molecular Dysfunction	Disease_pathologic
26901067	2016-03-30	Knock-out	1	Experimental Model of Disease	Method_Activity
26901067	2016-03-30	Malignant neoplasm of urinary bladder	2	Neoplastic Process	Disease_pathologic
26901067	2016-03-30	Aggressive behavior	2	Mental or Behavioral Dysfunction	Disease_pathologic
26901067	2016-03-30	bladder cells	1	Cell	Material_OTC
26901067	2016-03-30	Urinary Bladder	1	Body Part, Organ, or Organ Component	Material_OTC
26901067	2016-03-30	Clustered Regularly Interspaced Short Palindromic Repeats	1	Nucleic Acid, Nucleoside, or Nucleotide	Material_gene
26496748	2015-10-27	Chromosomal structural abnormalities	1	Cell or Molecular Dysfunction	Disease_pathologic
26496748	2015-10-27	basic research	1	Research Activity	Method_Activity
26496748	2015-10-27	DNA Breaks, Double-Stranded	1	Cell or Molecular Dysfunction	Disease_pathologic
26496748	2015-10-27	Clustered Regularly Interspaced Short Palindromic Repeats	5	Nucleic Acid, Nucleoside, or Nucleotide	Material_gene
26496749	2015-10-27	Archaea	1	Archaeon	Material_species
26496749	2015-10-27	Bacteria	1	Bacterium	Material_species
26496749	2015-10-27	field research	1	Research Activity	Method_Activity
26496749	2015-10-27	applied research	1	Research Activity	Method_Activity
26496749	2015-10-27	Clustered Regularly Interspaced Short Palindromic Repeats	2	Nucleic Acid, Nucleoside, or Nucleotide	Material_gene
27443921	2016-07-22	Zebrafish	4	Fish	Material_species
27443921	2016-07-22	mutant	1	Cell or Molecular Dysfunction	Disease_pathologic
27443921	2016-07-22	Enthesitis-Related Arthritis	1	Disease or Syndrome	Disease_pathologic
27443921	2016-07-22	Clustered Regularly Interspaced Short Palindromic Repeats	4	Nucleic Acid, Nucleoside, or Nucleotide	Material_gene
27443921	2016-07-22	DNA Breaks, Double-Stranded	1	Cell or Molecular Dysfunction	Disease_pathologic
27443921	2016-07-22	Engineered Gene	1	Gene or Genome	Material_gene
27432159	2016-08-26	Homo sapiens	2	Human	Material_species
27432159	2016-08-26	Sus scrofa	7	Mammal	Material_species
27432159	2016-08-26	Clustered Regularly Interspaced Short Palindromic Repeats	1	Nucleic Acid, Nucleoside, or Nucleotide	Material_gene
26242611	2015-08-05	OTX2 gene	2	Gene or Genome	Material_gene
26242611	2015-08-05	DNA, Single-Stranded	1	Nucleic Acid, Nucleoside, or Nucleotide	Material_gene
26242611	2015-08-05	Embryonic Stem Cells	2	Cell	Material_OTC
26242611	2015-08-05	Gene Knockdown Techniques	1	Molecular Biology Research Technique	Method_Activity
26242611	2015-08-05	EEF2 gene	1	Gene or Genome	Material_gene
26242611	2015-08-05	Laboratory mice	1	Mammal	Material_species
26242611	2015-08-05	Clustered Regularly Interspaced Short Palindromic Repeats	3	Nucleic Acid, Nucleoside, or Nucleotide	Material_gene
27443926	2016-07-22	Zebrafish	4	Fish	Material_species
27443926	2016-07-22	Morpholinos	1	Nucleic Acid, Nucleoside, or Nucleotide	Material_gene
27443926	2016-07-22	Knock-out	2	Experimental Model of Disease	Method_Activity
27443926	2016-07-22	mature animal	1	Animal	Material_species
27443926	2016-07-22	Clustered Regularly Interspaced Short Palindromic Repeats	2	Nucleic Acid, Nucleoside, or Nucleotide	Material_gene
27443925	2016-07-22	Zebrafish	3	Fish	Material_species
27443925	2016-07-22	In vivo GENETIC	1	Therapeutic or Preventive Procedure	Method_Activity
27443925	2016-07-22	Somatic mutation	1	Cell or Molecular Dysfunction	Disease_pathologic
27443925	2016-07-22	Knock-out	1	Experimental Model of Disease	Method_Activity
27443925	2016-07-22	Cyclic AMP Response Element	2	Gene or Genome	Material_gene
27443925	2016-07-22	LGALS4 gene	2	Gene or Genome	Material_gene
27443925	2016-07-22	Gene Transfer Techniques	1	Research Activity	Method_Activity
27443925	2016-07-22	Clustered Regularly Interspaced Short Palindromic Repeats	1	Nucleic Acid, Nucleoside, or Nucleotide	Material_gene
27443924	2016-07-22	Zebrafish	4	Fish	Material_species
27443924	2016-07-22	Anagallis arvensis	1	Plant	Material_species
27443924	2016-07-22	mutant	1	Cell or Molecular Dysfunction	Disease_pathologic
27443924	2016-07-22	Homo sapiens	1	Human	Material_species
27443924	2016-07-22	Clustered Regularly Interspaced Short Palindromic Repeats	1	Nucleic Acid, Nucleoside, or Nucleotide	Material_gene
27443928	2016-07-22	LOX gene	7	Gene or Genome	Material_gene
27443928	2016-07-22	Zebrafish	5	Fish	Material_species
27443928	2016-07-22	Induction procedure	1	Therapeutic or Preventive Procedure	Method_Activity
27443928	2016-07-22	Cyclic AMP Response Element	4	Gene or Genome	Material_gene
27443928	2016-07-22	Gene Transfer Techniques	5	Research Activity	Method_Activity
27443928	2016-07-22	Clustered Regularly Interspaced Short Palindromic Repeats	1	Nucleic Acid, Nucleoside, or Nucleotide	Material_gene
26840090	2016-05-06	Homo sapiens	1	Human	Material_species
26840090	2016-05-06	cancer therapy	1	Therapeutic or Preventive Procedure	Method_Activity
26840090	2016-05-06	Cellular	2	Laboratory Procedure	Method_procedure
26840090	2016-05-06	This (eukaryote)	1	Eukaryote	Material_species
25250853	2014-09-25	Protein Digestion (research activity)	1	Research Activity	Method_Activity
27037575	2016-04-02	RNA	1	Nucleic Acid, Nucleoside, or Nucleotide	Material_gene
27037575	2016-04-02	Amyotrophic Lateral Sclerosis	1	Disease or Syndrome	Disease_pathologic
27037575	2016-04-02	ELAVL1 gene	1	Gene or Genome	Material_gene
27037575	2016-04-02	mutant	1	Cell or Molecular Dysfunction	Disease_pathologic
27037575	2016-04-02	cytoplasmic mRNA processing body	2	Cell Component	Material_OTC
27037575	2016-04-02	Frontotemporal dementia	1	Disease or Syndrome	Disease_pathologic
27037575	2016-04-02	Transient Ischemic Attack	1	Disease or Syndrome	Disease_pathologic
27037575	2016-04-02	C9orf72 gene	11	Gene or Genome	Material_gene
27037575	2016-04-02	SCARA3 gene	2	Gene or Genome	Material_gene
27037575	2016-04-02	Clustered Regularly Interspaced Short Palindromic Repeats	1	Nucleic Acid, Nucleoside, or Nucleotide	Material_gene
26849369	2016-02-06	Mammalian Cell	1	Cell	Material_OTC
26849369	2016-02-06	Homo sapiens	1	Human	Material_species
26849369	2016-02-06	Bacteriophage T7	1	Virus	Material_species
26849369	2016-02-06	Mus	2	Mammal	Material_species
26849369	2016-02-06	Plasmid Cloning Vector	1	Nucleic Acid, Nucleoside, or Nucleotide	Material_gene
26849369	2016-02-06	RNU6-50P gene	1	Gene or Genome	Material_gene
26849369	2016-02-06	Transfection	1	Molecular Biology Research Technique	Method_Activity
26849369	2016-02-06	expression vector	1	Nucleic Acid, Nucleoside, or Nucleotide	Material_gene
26849369	2016-02-06	Cloning Vectors	1	Nucleic Acid, Nucleoside, or Nucleotide	Material_gene
25603988	2015-05-19	Animal Disease Models	1	Experimental Model of Disease	Method_Activity
25603988	2015-05-19	RNA	1	Nucleic Acid, Nucleoside, or Nucleotide	Material_gene
25603988	2015-05-19	Homo sapiens	3	Human	Material_species
25603988	2015-05-19	Animals, Genetically Modified	1	Animal	Material_species
25603988	2015-05-19	Transection (procedure)	1	Therapeutic or Preventive Procedure	Method_Activity
25603988	2015-05-19	Insecta	1	Eukaryote	Material_species
25603988	2015-05-19	PPT1 gene	2	Gene or Genome	Material_gene
25603988	2015-05-19	Amphibians	1	Amphibian	Material_species
25603988	2015-05-19	Nematodes	1	Eukaryote	Material_species
25603988	2015-05-19	Show	1	Animal	Material_species
25603988	2015-05-19	DNA Breaks, Double-Stranded	1	Cell or Molecular Dysfunction	Disease_pathologic
25603988	2015-05-19	Clustered Regularly Interspaced Short Palindromic Repeats	1	Nucleic Acid, Nucleoside, or Nucleotide	Material_gene
26189696	2015-09-21	RNA	4	Nucleic Acid, Nucleoside, or Nucleotide	Material_gene
26189696	2015-09-21	applied research	1	Research Activity	Method_Activity
26189696	2015-09-21	Nucleotides	1	Nucleic Acid, Nucleoside, or Nucleotide	Material_gene
26189696	2015-09-21	Clustered Regularly Interspaced Short Palindromic Repeats	3	Nucleic Acid, Nucleoside, or Nucleotide	Material_gene
25897126	2015-05-29	human cell line	1	Cell	Material_OTC
25897126	2015-05-29	Mus	5	Mammal	Material_species
25897126	2015-05-29	TYR gene	2	Gene or Genome	Material_gene
25897126	2015-05-29	Inversion Mutation Abnormality	1	Cell or Molecular Dysfunction	Disease_pathologic
25897126	2015-05-29	Show	1	Animal	Material_species
25897126	2015-05-29	Clustered Regularly Interspaced Short Palindromic Repeats	1	Nucleic Acid, Nucleoside, or Nucleotide	Material_gene
25897126	2015-05-29	This (eukaryote)	1	Eukaryote	Material_species
26859414	2016-02-10	Malignant Female Reproductive System Neoplasm	1	Neoplastic Process	Disease_pathologic
26859414	2016-02-10	Adenoviruses	1	Virus	Material_species
26859414	2016-02-10	Atla (fungus)	1	Fungus	Material_species
26859414	2016-02-10	MYC gene	2	Gene or Genome	Material_gene
26859414	2016-02-10	Endometrial Neoplasms	3	Neoplastic Process	Disease_pathologic
26859414	2016-02-10	Neoplasms	1	Neoplastic Process	Disease_pathologic
26859414	2016-02-10	Uterine Corpus Cancer	8	Neoplastic Process	Disease_pathologic
26859414	2016-02-10	MYC Family Genes	1	Gene or Genome	Material_gene
26859414	2016-02-10	SRD5A1 gene	1	Gene or Genome	Material_gene
26859414	2016-02-10	Breast Cancer Cell	1	Cell	Material_OTC
26859414	2016-02-10	Endometrial Carcinoma	1	Neoplastic Process	Disease_pathologic
26859414	2016-02-10	Providing presence (regime/therapy)	1	Therapeutic or Preventive Procedure	Method_Activity
26859414	2016-02-10	Null cell	2	Cell	Material_OTC
26859414	2016-02-10	The Cancer Genome Atlas	1	Research Activity	Method_Activity
26859414	2016-02-10	Progestogen hormone therapy	4	Therapeutic or Preventive Procedure	Method_Activity
26859414	2016-02-10	Clustered Regularly Interspaced Short Palindromic Repeats	1	Nucleic Acid, Nucleoside, or Nucleotide	Material_gene
27209600	2016-05-22	Family suidae	1	Mammal	Material_species
